start_iso,iso,rel_s,state,x,y,rect_w,rect_h,iti_ms,event,outside_in_trial,max_outside_before_fail,trial_outcome,iti_kind,release_dwell_required_ms,release_dwell_elapsed_ms,,
2026-06-02T15:29:20.536,2026-06-02T15:35:17.545,357.008991,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:19.547,359.010925,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:35:20.363,359.827531,SHOW,1010,363,352,352,0,TOUCH_OUTSIDE,1,5,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:21.447,360.911244,SHOW,914,434,352,352,1000,TOUCH_TTL,1,,success,correct,,,15:35:21.447,15:35:21
2026-06-02T15:29:20.536,2026-06-02T15:35:21.462,360.925937,ITI,914,434,352,352,0,TOUCH_ITI_INSIDE,,,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:22.448,361.912162,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:22.448,361.912216,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:24.449,363.913257,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:35:25.760,365.224462,SHOW,946,406,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:35:25.760,15:35:26
2026-06-02T15:29:20.536,2026-06-02T15:35:25.774,365.238005,ITI,946,406,352,352,0,TOUCH_ITI_INSIDE,,,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:26.764,366.227881,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:26.764,366.227931,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:28.764,368.228525,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2000,,
2026-06-02T15:29:20.536,2026-06-02T15:35:30.413,369.877455,SHOW,1008,428,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:35:30.413,15:35:30
2026-06-02T15:29:20.536,2026-06-02T15:35:31.414,370.877796,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:31.414,370.877846,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
